ship,1131,0.011311214
captain,1038,0.010375562
power,763,0.007625616
system,587,0.005869828
command,557,0.005566163
kill,548,0.005481927
plea,470,0.00469625
die,462,0.004619008
control,441,0.004406524
doctor,436,0.004360082
order,429,0.004288327
human,424,0.004243967
planet,404,0.004038692
fire,398,0.003980487
dead,380,0.003796138
close,375,0.003750227
program,372,0.003719066
space,357,0.003569019
report,347,0.003472705
earth,347,0.003465983
destroy,342,0.003422098
mission,329,0.003293983
hope,321,0.003214575
save,321,0.003210348
bomb,318,0.003179222
data,295,0.002950335
crew,287,0.00287473
light,273,0.002727944
afraid,268,0.002675654
test,267,0.002668657
code,262,0.002622365
learn,257,0.002572363
danger,256,0.002563233
major,256,0.002562514
weapon,256,0.00256055
differ,249,0.00248998
sen,248,0.002476252
team,243,0.002432871
inform,243,0.002426702
creat,241,0.002418907
attack,237,0.002372239
death,236,0.002358259
lock,223,0.002238632
safe,220,0.002195435
quit,216,0.002160563
signal,216,0.00215606
friend,215,0.002154654
form,214,0.002143961
import,212,0.002117578
war,211,0.002108195
unit,208,0.002091089
agent,208,0.002085149
clear,206,0.00207334
base,206,0.002060763
full,204,0.00203642
came,202,0.002021402
exist,202,0.002020498
return,198,0.001984092
reason,191,0.001905214
shield,188,0.001880617
contact,187,0.001867742
follow,185,0.001845444
reach,179,0.001785615
level,179,0.001785214
area,178,0.00178465
blood,175,0.001749149
star,174,0.001744418
wonder,172,0.00172209
seven,171,0.001714492
scientist,171,0.001712998
speak,168,0.001675055
protect,166,0.001662892
field,166,0.001659761
taken,164,0.001638
lie,163,0.001630109
plane,163,0.001628174
foot,162,0.00162254
cell,162,0.001618753
fact,162,0.001617295
beam,161,0.0016128
explain,160,0.001601189
station,159,0.001590069
radio,157,0.001566737
lose,154,0.001536876
access,154,0.001536132
medic,154,0.001535613
pilot,153,0.001530591
reed,152,0.001522985
target,152,0.001521668
blow,152,0.001518779
speed,151,0.001514871
wish,151,0.001509218
brain,149,0.001490135
effect,148,0.001484367
breath,148,0.001483924
moment,148,0.00148289
zero,148,0.001479611
shot,146,0.001456883
design,146,0.001455406
