love,2364,0.023642865
plea,791,0.007909473
woman,757,0.007568761
friend,684,0.006836667
school,544,0.005443005
hate,495,0.004953913
wonder,461,0.004608868
die,458,0.004579596
came,426,0.004264657
differ,423,0.004227059
honey,420,0.004203787
hope,417,0.004183963
book,393,0.003931533
parti,375,0.003751478
father,365,0.00365269
dead,350,0.003496062
sister,334,0.003338684
kill,334,0.003338613
doctor,322,0.003216555
morn,312,0.003120324
date,302,0.003022655
fun,296,0.002957039
sex,290,0.002901494
sick,283,0.002827191
drive,275,0.002750281
quit,274,0.002744585
lie,272,0.002723093
interest,267,0.002673522
wear,262,0.002619166
hair,256,0.002559644
perfect,246,0.002463611
wish,239,0.002389965
kiss,237,0.002372374
music,231,0.002312718
act,229,0.002291878
reason,224,0.002249636
star,223,0.00223641
dress,222,0.00221789
import,219,0.002194815
fact,219,0.002187881
total,216,0.002163869
touch,210,0.002104668
heart,210,0.002102874
stupid,210,0.002097302
mile,208,0.002092798
afraid,206,0.002060838
york,205,0.00204844
scare,205,0.002045167
lose,204,0.002037525
sweet,201,0.002014793
close,200,0.002002511
dollar,199,0.00198543
sing,197,0.001973681
glad,197,0.001970298
film,194,0.001941934
death,193,0.001927942
finish,192,0.001924871
weird,181,0.001812201
daughter,181,0.001807416
fall,179,0.001786921
wed,176,0.001760027
laugh,174,0.001742899
felt,172,0.001721673
ring,171,0.001713789
apart,167,0.001668331
upset,166,0.001656581
cloth,165,0.001654272
expect,164,0.001640803
grace,164,0.001635747
fire,164,0.001635512
special,164,0.001635166
hot,162,0.001620476
light,161,0.001610626
joke,161,0.001607343
when,160,0.001601934
ride,159,0.001588459
spend,158,0.001580987
class,154,0.001543207
brought,154,0.001542452
truth,152,0.001522781
water,151,0.001506232
throw,150,0.001499086
free,150,0.001497349
black,148,0.001483722
store,148,0.001483623
moment,148,0.001482166
past,148,0.001479764
smell,147,0.001470679
trip,145,0.001448556
final,144,0.001435573
sen,143,0.001426677
poor,142,0.00141793
mad,142,0.001417125
front,142,0.001415504
enjoy,141,0.001413166
tire,141,0.001411303
seven,140,0.001401569
cute,140,0.001398846
wake,139,0.001388955
